City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Weather Description,Date
322,Morgan City,29.6994,-91.2068,52.0,100,1,0.0,US,clear sky,2021-12-01 03:50:29
323,La Orilla,17.9833,-102.2333,76.62,84,81,4.63,MX,broken clouds,2021-12-01 03:50:30
324,Xichang,27.8964,102.2634,55.96,67,100,3.31,CN,overcast clouds,2021-12-01 03:50:30
325,Okhotsk,59.3833,143.3,-12.84,85,12,14.47,RU,few clouds,2021-12-01 03:50:31
326,Cayenne,4.9333,-52.3333,77.09,91,0,0.0,GF,moderate rain,2021-12-01 03:50:31
327,Dawson Creek,55.7666,-120.2362,46.04,57,1,31.07,CA,clear sky,2021-12-01 03:50:32
328,Uppsala,60.0,17.75,17.42,92,90,5.75,SE,overcast clouds,2021-12-01 03:50:32
329,Monze,-16.2833,27.4833,68.41,31,3,7.05,ZM,clear sky,2021-12-01 03:50:32
330,Phuthaditjhaba,-28.5242,28.8158,59.59,76,12,1.81,ZA,few clouds,2021-12-01 03:50:33
331,Moen,69.1304,18.6123,11.44,77,11,0.0,NO,few clouds,2021-12-01 03:50:33
332,Evensk,61.95,159.2333,-4.04,88,100,9.33,RU,overcast clouds,2021-12-01 03:50:33
333,Portland,45.5234,-122.6762,58.55,87,90,1.01,US,overcast clouds,2021-12-01 03:50:34
334,Katsuura,35.1333,140.3,68.14,55,68,35.93,JP,broken clouds,2021-12-01 03:50:34
335,Kavieng,-2.5744,150.7967,85.59,64,45,9.4,PG,scattered clouds,2021-12-01 03:50:35
336,Stykkisholmur,65.0757,-22.7297,26.6,67,88,8.08,IS,overcast clouds,2021-12-01 03:50:35
337,Khandagayty,50.7333,92.05,13.48,89,84,1.14,RU,broken clouds,2021-12-01 03:50:35
338,Murgab,37.4966,61.9714,49.87,43,40,11.5,TM,scattered clouds,2021-12-01 03:50:36
339,Bambanglipuro,-7.95,110.2833,84.58,68,72,9.75,ID,broken clouds,2021-12-01 03:50:36
340,Bathurst,-33.4166,149.5806,73.85,75,34,3.0,AU,light rain,2021-12-01 03:50:37
341,Laguna,38.421,-121.4238,62.96,92,1,0.0,US,mist,2021-12-01 03:48:59
342,Semey,50.4111,80.2275,17.82,79,0,4.47,KZ,clear sky,2021-12-01 03:50:37
343,Gazojak,41.1875,61.4036,49.28,44,71,13.56,TM,broken clouds,2021-12-01 03:50:38
344,Birao,10.2849,22.7882,70.63,28,26,4.68,CF,scattered clouds,2021-12-01 03:50:38
345,Shingu,33.7333,135.9833,54.59,56,5,16.87,JP,clear sky,2021-12-01 03:50:38
346,Neiafu,-18.65,-173.9833,81.28,78,40,5.75,TO,scattered clouds,2021-12-01 03:50:39
347,Dickinson,29.4608,-95.0513,62.94,92,1,1.01,US,clear sky,2021-12-01 03:50:00
348,Batesville,35.7698,-91.641,52.95,75,1,3.0,US,clear sky,2021-12-01 03:50:39
349,Itarema,-2.9248,-39.9167,79.57,78,47,10.87,BR,scattered clouds,2021-12-01 03:50:40
350,Port Augusta,-32.5,137.7667,99.72,35,2,14.27,AU,clear sky,2021-12-01 03:50:40
351,Souillac,-20.5167,57.5167,81.36,69,40,4.61,MU,scattered clouds,2021-12-01 03:50:41
352,Sangar,63.9242,127.4739,-13.11,87,100,11.14,RU,overcast clouds,2021-12-01 03:50:41
353,Champerico,14.3,-91.9167,81.03,76,0,4.45,GT,clear sky,2021-12-01 03:50:41
354,Kostino,58.9097,53.2691,35.19,80,99,14.38,RU,overcast clouds,2021-12-01 03:50:42
355,Abaete,-19.16,-45.4458,70.88,89,93,2.01,BR,overcast clouds,2021-12-01 03:50:42
356,Vodstroy,48.8416,44.5579,39.49,100,90,22.37,RU,overcast clouds,2021-12-01 03:50:42
357,Yulara,-25.2406,130.9889,100.24,8,0,8.05,AU,clear sky,2021-12-01 03:50:43
358,Sao Felix Do Xingu,-6.6447,-51.995,71.69,98,88,1.19,BR,overcast clouds,2021-12-01 03:50:43
359,Kaitangata,-46.2817,169.8464,58.93,77,99,14.03,NZ,overcast clouds,2021-12-01 03:49:02
360,Port Lincoln,-34.7333,135.8667,66.58,61,6,13.13,AU,clear sky,2021-12-01 03:50:44
361,Grindavik,63.8424,-22.4338,28.87,74,75,6.91,IS,broken clouds,2021-12-01 03:50:44
362,Boa Vista,2.8197,-60.6733,80.58,78,75,10.36,BR,broken clouds,2021-12-01 03:47:51
363,Moree,-29.4667,149.85,80.62,65,90,6.91,AU,overcast clouds,2021-12-01 03:50:45
364,Huarmey,-10.0681,-78.1522,65.93,85,82,7.05,PE,broken clouds,2021-12-01 03:47:39
365,Touros,-5.1989,-35.4608,79.7,80,47,10.45,BR,scattered clouds,2021-12-01 03:50:45
